Region Id,Region Data,Region Name
1,27.796875,region_0
2,25.890625,region_1
3,26.8125,region_10
4,26.078125,region_100
5,23.1875,region_1000
6,24.46875,region_1001
7,24.40625,region_1002
8,21.46875,region_1003
9,16.5625,region_1004
10,16.734375,region_1005
11,18.21875,region_1006
12,20.6875,region_1007
13,22.53125,region_1008
14,24.6875,region_1009
15,20.84375,region_101
16,21.875,region_1010
17,22.125,region_1011
18,21.640625,region_1012
19,22.015625,region_1013
20,24.734375,region_1014
21,23.375,region_1015
22,24.484375,region_1016
23,24.078125,region_1017
24,21.15625,region_1018
25,22.234375,region_1019
26,22.34375,region_102
27,21.140625,region_1020
28,22.015625,region_1021
29,22.25,region_1022
30,23.03125,region_1023
31,26.546875,region_1024
32,30.53125,region_1025
33,32.84375,region_1026
34,32.5,region_1027
35,29.375,region_1028
36,31.125,region_1029
37,29.390625,region_103
38,26.703125,region_1030
39,21.875,region_1031
40,23.234375,region_1032
41,26.734375,region_1033
42,22.109375,region_1034
43,25.828125,region_1035
44,28.359375,region_1036
45,24.515625,region_1037
46,26.21875,region_1038
47,28.015625,region_1039
48,28.0625,region_104
49,26.421875,region_1040
50,25.453125,region_1041
51,26.09375,region_1042
52,25.90625,region_1043
53,27.015625,region_1044
54,23.453125,region_1045
55,23.875,region_1046
56,23.8125,region_1047
57,26.390625,region_1048
58,24.3125,region_1049
59,23.8125,region_105
60,22.5,region_1050
61,27.5,region_1051
62,33.65625,region_1052
63,33.640625,region_1053
64,33.09375,region_1054
65,29.796875,region_1055
66,29.84375,region_1056
67,29.90625,region_1057
68,28.421875,region_1058
69,26.234375,region_1059
70,26.875,region_106
71,27.5625,region_1060
72,22.203125,region_1061
73,22.53125,region_1062
74,23.140625,region_1063
75,24.40625,region_1064
76,28.59375,region_1065
77,29.203125,region_1066
78,28.25,region_1067
79,28.65625,region_1068
80,31.0,region_1069
81,28.515625,region_107
82,28.234375,region_1070
83,27.1875,region_1071
84,25.765625,region_1072
85,26.609375,region_1073
86,28.671875,region_1074
87,28.46875,region_1075
88,30.25,region_1076
89,28.6875,region_1077
90,22.484375,region_1078
91,31.0625,region_1079
92,33.34375,region_108
93,32.96875,region_109
94,37.578125,region_11
95,35.234375,region_110
96,33.65625,region_111
97,31.75,region_112
98,29.828125,region_113
99,26.21875,region_114
100,24.71875,region_115
101,25.25,region_116
102,22.71875,region_117
103,23.390625,region_118
104,24.96875,region_119
105,25.0,region_12
106,25.171875,region_120
107,28.78125,region_121
108,29.703125,region_122
109,31.296875,region_123
110,33.359375,region_124
111,33.015625,region_125
112,32.5625,region_126
113,30.484375,region_127
114,28.65625,region_128
115,28.53125,region_129
116,31.078125,region_13
117,33.515625,region_130
118,28.9375,region_131
119,26.390625,region_132
120,21.46875,region_133
121,32.125,region_134
122,35.953125,region_135
123,34.765625,region_136
124,36.265625,region_137
125,36.3125,region_138
126,35.078125,region_139
127,32.578125,region_14
128,28.390625,region_140
129,28.328125,region_141
130,26.984375,region_142
131,24.328125,region_143
132,25.546875,region_144
133,27.09375,region_145
134,29.71875,region_146
135,29.34375,region_147
136,29.25,region_148
137,50.78125,region_149
138,121.609375,region_15
139,145.703125,region_150
140,138.625,region_151
141,95.796875,region_152
142,42.640625,region_153
143,31.265625,region_154
144,31.109375,region_155
145,33.703125,region_156
146,31.59375,region_157
147,30.453125,region_158
148,28.765625,region_159
149,28.40625,region_16
150,22.28125,region_160
151,33.328125,region_161
152,35.640625,region_162
153,36.03125,region_163
154,38.15625,region_164
155,37.625,region_165
156,38.1875,region_166
157,36.90625,region_167
158,36.75,region_168
159,35.046875,region_169
160,31.4375,region_17
161,32.1875,region_170
162,31.671875,region_171
163,31.6875,region_172
164,35.859375,region_173
165,40.15625,region_174
166,93.84375,region_175
167,170.234375,region_176
168,175.265625,region_177
169,177.453125,region_178
170,202.125,region_179
171,196.578125,region_18
172,110.796875,region_180
173,48.5625,region_181
174,31.859375,region_182
175,31.484375,region_183
176,31.609375,region_184
177,34.5,region_185
178,31.921875,region_186
179,29.296875,region_187
180,23.65625,region_188
181,31.15625,region_189
182,35.1875,region_19
183,39.859375,region_190
184,39.28125,region_191
185,39.90625,region_192
186,39.96875,region_193
187,37.578125,region_194
188,37.859375,region_195
189,37.25,region_196
190,36.6875,region_197
191,33.75,region_198
192,33.390625,region_199
193,65.671875,region_2
194,124.46875,region_20
195,152.640625,region_200
196,169.140625,region_201
197,158.921875,region_202
198,168.640625,region_203
199,184.640625,region_204
200,165.4375,region_205
201,150.453125,region_206
202,139.125,region_207
203,72.5,region_208
204,42.578125,region_209
205,32.0625,region_21
206,32.5,region_210
207,33.6875,region_211
208,30.703125,region_212
209,27.78125,region_213
210,24.0,region_214
211,29.96875,region_215
212,35.21875,region_216
213,38.671875,region_217
214,39.171875,region_218
215,42.578125,region_219
216,42.890625,region_22
217,40.46875,region_220
218,38.765625,region_221
219,35.125,region_222
220,34.375,region_223
221,38.0,region_224
222,96.640625,region_225
223,184.0625,region_226
224,192.734375,region_227
225,179.53125,region_228
226,167.09375,region_229
227,160.203125,region_23
228,138.609375,region_230
229,122.6875,region_231
230,152.984375,region_232
231,139.1875,region_233
232,117.234375,region_234
233,100.328125,region_235
234,53.453125,region_236
235,32.328125,region_237
236,33.734375,region_238
237,32.65625,region_239
238,29.625,region_24
239,26.1875,region_240
240,24.71875,region_241
241,32.625,region_242
242,34.703125,region_243
243,38.296875,region_244
244,40.515625,region_245
245,42.296875,region_246
246,42.59375,region_247
247,40.359375,region_248
248,38.875,region_249
249,34.390625,region_25
250,34.09375,region_250
251,79.78125,region_251
252,182.609375,region_252
253,190.953125,region_253
254,188.28125,region_254
255,173.984375,region_255
256,161.375,region_256
257,159.5,region_257
258,148.84375,region_258
259,141.6875,region_259
260,88.515625,region_26
261,105.765625,region_260
262,95.390625,region_261
263,113.65625,region_262
264,60.8125,region_263
265,30.421875,region_264
266,32.765625,region_265
267,29.921875,region_266
268,28.265625,region_267
269,25.359375,region_268
270,21.96875,region_269
271,33.296875,region_27
272,37.453125,region_270
273,38.296875,region_271
274,39.5,region_272
275,42.296875,region_273
276,40.765625,region_274
277,38.171875,region_275
278,39.140625,region_276
279,36.765625,region_277
280,39.375,region_278
281,155.265625,region_279
282,180.90625,region_28
283,186.625,region_280
284,179.078125,region_281
285,147.328125,region_282
286,158.234375,region_283
287,157.296875,region_284
288,142.90625,region_285
289,123.984375,region_286
290,87.609375,region_287
291,78.09375,region_288
292,84.515625,region_289
293,148.953125,region_29
294,79.828125,region_290
295,32.09375,region_291
296,27.609375,region_292
297,26.484375,region_293
298,28.5625,region_294
299,26.875,region_295
300,23.34375,region_296
301,32.375,region_297
302,37.46875,region_298
303,42.609375,region_299
304,42.640625,region_3
305,40.75,region_30
306,40.46875,region_300
307,39.6875,region_301
308,39.140625,region_302
309,38.625,region_303
310,50.15625,region_304
311,184.78125,region_305
312,212.109375,region_306
313,190.828125,region_307
314,162.578125,region_308
315,133.3125,region_309
316,110.65625,region_31
317,124.171875,region_310
318,81.171875,region_311
319,80.5625,region_312
320,67.84375,region_313
321,77.1875,region_314
322,74.6875,region_315
323,146.796875,region_316
324,88.453125,region_317
325,51.6875,region_318
326,21.21875,region_319
327,24.671875,region_32
328,28.328125,region_320
329,25.515625,region_321
330,23.515625,region_322
331,30.453125,region_323
332,32.75,region_324
333,40.515625,region_325
334,36.828125,region_326
335,37.71875,region_327
336,36.921875,region_328
337,42.671875,region_329
338,39.015625,region_33
339,39.046875,region_330
340,92.296875,region_331
341,220.21875,region_332
342,219.0,region_333
343,207.890625,region_334
344,192.453125,region_335
345,136.234375,region_336
346,89.390625,region_337
347,74.546875,region_338
348,72.390625,region_339
349,70.71875,region_34
350,78.5,region_340
351,70.71875,region_341
352,71.328125,region_342
353,129.578125,region_343
354,86.890625,region_344
355,64.0,region_345
356,28.46875,region_346
357,24.046875,region_347
358,27.203125,region_348
359,27.15625,region_349
360,22.875,region_35
361,30.265625,region_350
362,31.8125,region_351
363,35.171875,region_352
364,34.875,region_353
365,36.0,region_354
366,35.171875,region_355
367,39.3125,region_356
368,40.140625,region_357
369,38.765625,region_358
370,102.53125,region_359
371,185.234375,region_36
372,207.546875,region_360
373,180.375,region_361
374,184.0625,region_362
375,176.09375,region_363
376,106.65625,region_364
377,65.578125,region_365
378,52.375,region_366
379,59.125,region_367
380,60.546875,region_368
381,76.78125,region_369
382,71.28125,region_37
383,118.890625,region_370
384,87.59375,region_371
