Region Id,Region Data,Region Name
266,25.06,region_14_22
267,26.71,region_14_23
268,24.82,region_14_24
269,24.34,region_14_25
270,23.05,region_14_26
271,24.54,region_14_27
272,27.06,region_14_28
273,28.15,region_14_29
274,28.46,region_14_3
275,29.08,region_14_30
276,25.96,region_14_31
277,29.5,region_14_32
278,29.73,region_14_33
279,31.62,region_14_34
280,35.42,region_14_35
281,48.16,region_14_36
282,43.74,region_14_37
283,36.81,region_14_38
284,34.1,region_14_39
285,34.64,region_14_4
286,34.96,region_14_40
287,34.99,region_14_41
288,32.75,region_14_42
289,28.8,region_14_43
290,29.62,region_14_44
291,29.35,region_14_45
292,32.32,region_14_46
293,32.85,region_14_47
294,34.55,region_14_48
295,32.32,region_14_49
296,30.14,region_14_5
297,26.17,region_14_6
298,27.49,region_14_7
299,19.52,region_14_8
300,22.7,region_14_9
301,31.08,region_15_0
302,33.77,region_15_1
303,37.38,region_15_10
304,35.76,region_15_11
305,37.04,region_15_12
306,37.47,region_15_13
307,37.49,region_15_14
308,36.92,region_15_15
309,35.95,region_15_16
310,34.33,region_15_17
311,34.16,region_15_18
312,31.62,region_15_19
313,28.26,region_15_2
314,28.9,region_15_20
315,30.0,region_15_21
316,28.29,region_15_22
317,24.27,region_15_23
318,22.95,region_15_24
319,25.22,region_15_25
320,24.31,region_15_26
321,28.37,region_15_27
322,28.79,region_15_28
323,29.95,region_15_29
324,29.28,region_15_3
325,28.41,region_15_30
326,27.83,region_15_31
327,31.11,region_15_32
328,44.78,region_15_33
329,124.43,region_15_34
330,158.03,region_15_35
331,152.73,region_15_36
332,169.95,region_15_37
333,170.0,region_15_38
334,145.27,region_15_39
335,93.9,region_15_4
336,45.75,region_15_40
337,36.53,region_15_41
338,32.2,region_15_42
339,31.28,region_15_43
340,32.26,region_15_44
341,33.72,region_15_45
342,30.84,region_15_46
343,33.0,region_15_47
344,30.61,region_15_48
345,28.96,region_15_49
346,30.15,region_15_5
347,25.3,region_15_6
348,30.29,region_15_7
349,22.05,region_15_8
350,23.24,region_15_9
351,30.69,region_16_0
352,32.65,region_16_1
353,37.16,region_16_10
354,37.4,region_16_11
355,34.98,region_16_12
356,36.56,region_16_13
357,35.94,region_16_14
358,35.78,region_16_15
359,37.02,region_16_16
360,37.34,region_16_17
361,36.51,region_16_18
362,35.95,region_16_19
363,34.52,region_16_2
364,34.64,region_16_20
365,32.94,region_16_21
366,32.36,region_16_22
367,30.46,region_16_23
368,30.99,region_16_24
369,31.81,region_16_25
370,30.43,region_16_26
371,30.98,region_16_27
372,32.08,region_16_28
373,33.51,region_16_29
374,33.68,region_16_3
375,32.42,region_16_30
376,37.52,region_16_31
377,66.29,region_16_32
378,155.12,region_16_33
379,171.14,region_16_34
380,169.23,region_16_35
381,154.61,region_16_36
382,201.38,region_16_37
383,216.81,region_16_38
384,213.35,region_16_39
385,186.5,region_16_4
386,128.66,region_16_40
387,70.01,region_16_41
388,38.14,region_16_42
389,32.11,region_16_43
390,33.45,region_16_44
391,31.71,region_16_45
392,32.85,region_16_46
393,32.76,region_16_47
394,32.52,region_16_48
395,33.77,region_16_49
396,32.86,region_16_5
397,30.51,region_16_6
398,30.39,region_16_7
399,23.68,region_16_8
400,24.49,region_16_9
401,29.53,region_17_0
402,33.44,region_17_1
403,36.81,region_17_10
404,37.05,region_17_11
405,38.83,region_17_12
406,39.76,region_17_13
407,38.4,region_17_14
408,38.18,region_17_15
409,39.09,region_17_16
410,39.14,region_17_17
411,38.67,region_17_18
412,37.72,region_17_19
413,37.77,region_17_2
414,37.97,region_17_20
415,38.34,region_17_21
416,36.05,region_17_22
417,34.18,region_17_23
418,34.14,region_17_24
419,33.18,region_17_25
420,32.21,region_17_26
421,32.62,region_17_27
422,35.46,region_17_28
423,45.47,region_17_29
424,65.31,region_17_3
425,99.17,region_17_30
426,170.45,region_17_31
427,191.46,region_17_32
428,197.09,region_17_33
429,217.51,region_17_34
430,196.02,region_17_35
431,178.23,region_17_36
432,181.82,region_17_37
433,171.64,region_17_38
434,158.52,region_17_39
435,185.45,region_17_4
436,142.12,region_17_40
437,83.29,region_17_41
438,66.84,region_17_42
439,42.53,region_17_43
440,33.31,region_17_44
441,31.82,region_17_45
442,32.2,region_17_46
443,35.22,region_17_47
444,34.33,region_17_48
445,33.55,region_17_49
446,30.87,region_17_5
447,31.96,region_17_6
448,30.58,region_17_7
449,22.12,region_17_8
450,24.95,region_17_9
451,29.38,region_18_0
452,32.96,region_18_1
453,35.24,region_18_10
454,36.43,region_18_11
455,40.61,region_18_12
456,39.97,region_18_13
457,40.23,region_18_14
458,41.46,region_18_15
459,40.97,region_18_16
460,38.88,region_18_17
461,39.21,region_18_18
462,38.96,region_18_19
463,37.77,region_18_2
464,35.21,region_18_20
465,38.09,region_18_21
466,36.09,region_18_22
467,35.24,region_18_23
468,34.34,region_18_24
469,32.34,region_18_25
470,34.6,region_18_26
471,70.79,region_18_27
472,132.7,region_18_28
473,173.06,region_18_29
474,179.54,region_18_3
475,169.14,region_18_30
476,167.38,region_18_31
477,166.68,region_18_32
478,150.77,region_18_33
479,120.48,region_18_34
480,143.44,region_18_35
481,192.16,region_18_36
482,180.65,region_18_37
483,165.6,region_18_38
484,157.8,region_18_39
485,143.23,region_18_4
486,159.75,region_18_40
487,132.45,region_18_41
488,74.72,region_18_42
489,56.32,region_18_43
490,38.59,region_18_44
491,33.07,region_18_45
492,30.52,region_18_46
493,33.94,region_18_47
494,35.61,region_18_48
495,33.24,region_18_49
496,31.48,region_18_5
497,29.66,region_18_6
498,29.22,region_18_7
499,24.19,region_18_8
500,26.72,region_18_9
501,28.39,region_19_0
502,32.59,region_19_1
503,34.73,region_19_10
504,37.08,region_19_11
505,39.01,region_19_12
506,38.79,region_19_13
507,40.66,region_19_14
508,40.04,region_19_15
509,44.09,region_19_16
510,42.27,region_19_17
511,40.62,region_19_18
512,40.97,region_19_19
513,38.81,region_19_2
514,36.48,region_19_20
515,36.64,region_19_21
516,33.81,region_19_22
517,35.13,region_19_23
518,36.78,region_19_24
519,39.94,region_19_25
520,109.56,region_19_26
521,185.44,region_19_27
522,189.48,region_19_28
523,191.07,region_19_29
524,187.0,region_19_3
525,175.36,region_19_30
526,166.4,region_19_31
527,166.42,region_19_32
528,161.36,region_19_33
529,152.36,region_19_34
530,131.98,region_19_35
531,116.94,region_19_36
532,124.83,region_19_37
533,160.72,region_19_38
534,164.71,region_19_39
535,127.16,region_19_4
536,128.25,region_19_40
537,114.15,region_19_41
538,95.18,region_19_42
539,64.59,region_19_43
540,48.62,region_19_44
541,30.56,region_19_45
542,31.8,region_19_46
543,33.31,region_19_47
544,33.46,region_19_48
545,32.44,region_19_49
546,29.53,region_19_5
547,27.32,region_19_6
548,26.85,region_19_7
549,24.44,region_19_8
550,26.83,region_19_9
551,29.92,region_1_0
552,33.1,region_1_1
553,33.4,region_1_10
554,37.56,region_1_11
555,39.25,region_1_12
556,39.53,region_1_13
557,41.5,region_1_14
558,41.78,region_1_15
559,43.4,region_1_16
560,40.56,region_1_17
561,42.25,region_1_18
562,40.69,region_1_19
563,38.97,region_1_2
564,35.79,region_1_20
565,33.18,region_1_21
566,32.68,region_1_22
567,37.14,region_1_23
568,43.54,region_1_24
569,119.62,region_1_25
570,192.85,region_1_26
571,191.13,region_1_27
572,188.55,region_1_28
573,189.67,region_1_29
574,185.37,region_1_3
575,173.78,region_1_30
576,162.28,region_1_31
577,160.37,region_1_32
578,160.8,region_1_33
579,154.41,region_1_34
580,150.59,region_1_35
581,146.84,region_1_36
582,106.57,region_1_37
583,91.45,region_1_38
584,115.79,region_1_39
585,141.68,region_1_4
586,96.59,region_1_40
587,87.38,region_1_41
588,128.89,region_1_42
589,72.21,region_1_43
590,54.72,region_1_44
591,30.55,region_1_45
592,31.69,region_1_46
593,32.3,region_1_47
594,32.9,region_1_48
595,31.24,region_1_49
596,28.93,region_1_5
597,26.58,region_1_6
598,23.79,region_1_7
599,20.8,region_1_8
600,22.87,region_1_9
601,33.07,region_20_0
602,36.82,region_20_1
603,35.71,region_20_10
604,37.63,region_20_11
605,36.96,region_20_12
606,39.87,region_20_13
607,40.65,region_20_14
608,42.82,region_20_15
609,42.54,region_20_16
610,41.25,region_20_17
611,38.97,region_20_18
612,37.69,region_20_19
613,39.74,region_20_2
614,38.14,region_20_20
615,33.64,region_20_21
616,34.63,region_20_22
617,40.11,region_20_23
618,116.62,region_20_24
619,183.57,region_20_25
620,188.71,region_20_26
621,189.12,region_20_27
622,186.68,region_20_28
